"constructorId","constructor","constructor_nationality","raceId","constructor_points","constructor_wins","circuitId","race_name","year"
1,"McLaren","British",1117,256,0,32,"Mexico City Grand Prix",2023
1,"McLaren","British",298,44,2,10,"German Grand Prix",1992
1,"McLaren","British",1001,52,0,13,"Belgian Grand Prix",2018
1,"McLaren","British",1130,237,1,4,"Spanish Grand Prix",2024
1,"McLaren","British",406,18,1,21,"San Marino Grand Prix",1986
1,"McLaren","British",105,58,1,17,"Chinese Grand Prix",2004
1,"McLaren","British",1038,98,0,14,"Italian Grand Prix",2020
1,"McLaren","British",1002,52,0,14,"Italian Grand Prix",2018
1,"McLaren","British",364,89,7,10,"German Grand Prix",1989
1,"McLaren","British",106,61,1,22,"Japanese Grand Prix",2004
1,"McLaren","British",500,3,0,30,"South African Grand Prix",1980
1,"McLaren","British",2,1,0,2,"Malaysian Grand Prix",2009
1,"McLaren","British",1039,106,0,76,"Tuscan Grand Prix",2020
1,"McLaren","British",1118,282,0,18,"São Paulo Grand Prix",2023
1,"McLaren","British",887,37,0,9,"British Grand Prix",2013
1,"McLaren","British",1079,50,0,4,"Spanish Grand Prix",2022
1,"McLaren","British",176,10,1,18,"Brazilian Grand Prix",1999
1,"McLaren","British",1003,58,0,15,"Singapore Grand Prix",2018
1,"McLaren","British",856,418,5,35,"Korean Grand Prix",2011
1,"McLaren","British",37,32,1,2,"Malaysian Grand Prix",2007
1,"McLaren","British",1119,284,0,80,"Las Vegas Grand Prix",2023
1,"McLaren","British",565,21,1,6,"Monaco Grand Prix",1976
1,"McLaren","British",501,6,0,43,"United States Grand Prix West",1980
1,"McLaren","British",211,20,1,6,"Monaco Grand Prix",1997
1,"McLaren","British",350,347,5,14,"Italian Grand Prix",2010
1,"McLaren","British",433,86,6,38,"European Grand Prix",1985
1,"McLaren","British",299,58,3,11,"Hungarian Grand Prix",1992
1,"McLaren","British",3,8,0,17,"Chinese Grand Prix",2009
1,"McLaren","British",1004,58,0,71,"Russian Grand Prix",2018
1,"McLaren","British",143,21,1,18,"Brazilian Grand Prix",2001
1,"McLaren","British",1120,302,0,24,"Abu Dhabi Grand Prix",2023
1,"McLaren","British",108,16,1,1,"Australian Grand Prix",2003
1,"McLaren","British",1041,116,0,20,"Eifel Grand Prix",2020
1,"McLaren","British",341,119,2,4,"Spanish Grand Prix",2010
1,"McLaren","British",1121,12,0,3,"Bahrain Grand Prix",2024
1,"McLaren","British",502,6,0,40,"Belgian Grand Prix",1980
1,"McLaren","British",109,26,2,2,"Malaysian Grand Prix",2003
1,"McLaren","British",4,13,0,3,"Bahrain Grand Prix",2009
1,"McLaren","British",890,57,0,11,"Hungarian Grand Prix",2013
1,"McLaren","British",480,60,4,41,"Swiss Grand Prix",1982
1,"McLaren","British",300,60,3,13,"Belgian Grand Prix",1992
1,"McLaren","British",365,98,7,11,"Hungarian Grand Prix",1989
1,"McLaren","British",1005,58,0,22,"Japanese Grand Prix",2018
1,"McLaren","British",245,8,0,7,"Canadian Grand Prix",1995
1,"McLaren","British",1122,28,0,77,"Saudi Arabian Grand Prix",2024
1,"McLaren","British",40,76,2,6,"Monaco Grand Prix",2007
1,"McLaren","British",891,65,0,13,"Belgian Grand Prix",2013
1,"McLaren","British",5,13,0,4,"Spanish Grand Prix",2009
1,"McLaren","British",859,497,6,18,"Brazilian Grand Prix",2011
1,"McLaren","British",932,4,0,7,"Canadian Grand Prix",2015
1,"McLaren","British",1006,58,0,69,"United States Grand Prix",2018
1,"McLaren","British",110,39,2,18,"Brazilian Grand Prix",2003
1,"McLaren","British",301,73,4,14,"Italian Grand Prix",1992
1,"McLaren","British",503,6,0,6,"Monaco Grand Prix",1980
1,"McLaren","British",111,51,2,21,"San Marino Grand Prix",2003
1,"McLaren","British",1123,55,0,1,"Australian Grand Prix",2024
1,"McLaren","British",434,90,6,30,"South African Grand Prix",1985
1,"McLaren","British",1007,62,0,32,"Mexican Grand Prix",2018
1,"McLaren","British",6,13,0,6,"Monaco Grand Prix",2009
1,"McLaren","British",321,9,1,33,"United States Grand Prix",1990
1,"McLaren","British",214,21,1,8,"French Grand Prix",1997
1,"McLaren","British",933,4,0,70,"Austrian Grand Prix",2015
1,"McLaren","British",343,172,3,5,"Turkish Grand Prix",2010
1,"McLaren","British",893,76,0,15,"Singapore Grand Prix",2013
1,"McLaren","British",7,13,0,5,"Turkish Grand Prix",2009
1,"McLaren","British",1124,69,0,22,"Japanese Grand Prix",2024
1,"McLaren","British",567,31,2,34,"French Grand Prix",1976
1,"McLaren","British",367,122,9,14,"Italian Grand Prix",1989
1,"McLaren","British",1008,62,0,18,"Brazilian Grand Prix",2018
1,"McLaren","British",934,5,0,9,"British Grand Prix",2015
1,"McLaren","British",613,35,2,9,"British Grand Prix",1973
1,"McLaren","British",302,83,4,27,"Portuguese Grand Prix",1992
1,"McLaren","British",112,51,2,4,"Spanish Grand Prix",2003
1,"McLaren","British",8,13,0,9,"British Grand Prix",2009
1,"McLaren","British",1125,96,0,17,"Chinese Grand Prix",2024
1,"McLaren","British",504,6,0,34,"French Grand Prix",1980
1,"McLaren","British",113,63,2,70,"Austrian Grand Prix",2003
1,"McLaren","British",894,81,0,35,"Korean Grand Prix",2013
1,"McLaren","British",972,0,0,71,"Russian Grand Prix",2017
1,"McLaren","British",436,9,1,36,"Brazilian Grand Prix",1984
1,"McLaren","British",76,51,2,6,"Monaco Grand Prix",2005
1,"McLaren","British",43,114,4,8,"French Grand Prix",2007
1,"McLaren","British",568,31,2,38,"British Grand Prix",1976
1,"McLaren","British",303,89,4,22,"Japanese Grand Prix",1992
1,"McLaren","British",937,17,0,13,"Belgian Grand Prix",2015
1,"McLaren","British",9,14,0,20,"German Grand Prix",2009
1,"McLaren","British",345,248,4,12,"European Grand Prix",2010
1,"McLaren","British",77,53,2,20,"European Grand Prix",2005
1,"McLaren","British",217,28,1,11,"Hungarian Grand Prix",1997
1,"McLaren","British",1126,124,1,79,"Miami Grand Prix",2024
1,"McLaren","British",505,7,0,38,"British Grand Prix",1980
1,"McLaren","British",114,73,2,6,"Monaco Grand Prix",2003
1,"McLaren","British",368,128,9,27,"Portuguese Grand Prix",1989
1,"McLaren","British",10,28,1,11,"Hungarian Grand Prix",2009
1,"McLaren","British",1127,154,1,21,"Emilia Romagna Grand Prix",2024
1,"McLaren","British",1087,95,0,13,"Belgian Grand Prix",2022
1,"McLaren","British",44,128,5,9,"British Grand Prix",2007
1,"McLaren","British",437,24,2,30,"South African Grand Prix",1984
1,"McLaren","British",461,29,1,10,"German Grand Prix",1983
1,"McLaren","British",483,0,0,43,"United States Grand Prix West",1981
1,"McLaren","British",45,138,5,20,"European Grand Prix",2007
1,"McLaren","British",1011,8,0,3,"Bahrain Grand Prix",2019
1,"McLaren","British",1047,202,0,24,"Abu Dhabi Grand Prix",2020
1,"McLaren","British",896,93,0,68,"Indian Grand Prix",2013
1,"McLaren","British",1128,184,1,6,"Monaco Grand Prix",2024
1,"McLaren","British",506,7,0,10,"German Grand Prix",1980
1,"McLaren","British",11,41,1,12,"European Grand Prix",2009
1,"McLaren","British",897,95,0,24,"Abu Dhabi Grand Prix",2013
1,"McLaren","British",975,0,0,7,"Canadian Grand Prix",2017
1,"McLaren","British",116,76,2,20,"European Grand Prix",2003
1,"McLaren","British",570,43,3,70,"Austrian Grand Prix",1976
1,"McLaren","British",507,7,0,70,"Austrian Grand Prix",1980
